ID,Major Category Abbreviation,Subclass Abbreviation
MIR2201.pdf,PUA,CC
MIR2202.pdf,PUA,AMS
MIR2205.pdf,PUA,TE
MIR2206.pdf,OI,OP
MIR2207.pdf,UA,DE
MIR2208.pdf,UA,DE
MIR2209.pdf,PUA,AMS
MIR2210.pdf,IS,IS
MIR2211.pdf,PUA,CC
MIR2213.pdf,PUA,TE
MIR2214.pdf,UA,DE
MIR2215.pdf,UA,SBE
MIR2216.pdf,PUA,TE
MIR2217.pdf,PUA,AMS
MIR2218.pdf,PUA,CC
MIR2220.pdf,PUA,TE
MIR2222.pdf,UA,DE
MIR2223.pdf,OI,OP
MIR2224.pdf,PUA,TE
MIR2225.pdf,OI,OP
MIR2227.pdf,UA,DE
MIR2228.pdf,OI,OP
MIR2229.pdf,UA,DE
MIR2301.pdf,PUA,AMS
MIR2304.pdf,PUA,APS
