ID,Major Category Abbreviation,Subclass Abbreviation
MAB1903.pdf,OI,RM
MAB1904.pdf,PUA,PhyE
MAB1905.pdf,OI,OP
MAB1906.pdf,PUA,TE
MAB1908.pdf,PUA,AMS
MAB1909.pdf,UA,RV
MAB1910.pdf,OI,RM
MAB1911.pdf,OI,RM
MAB1912.pdf,PUA,CC
MAB1913.pdf,OI,OP**
MAB1914.pdf,PUA,AMS
MAB1915.pdf,OI,OC
MAB1916.pdf,PUA,TE
MAB1917.pdf,PUA,CC
MAB1918.pdf,PUA,TE
MAB1919.pdf,IS,IS
MAB1920.pdf,UA,DE
MAB1921.pdf,PUA,TE
MAB1922.pdf,UA,DE
MAB1923.pdf,Unknown,Unknown
MAB1924.pdf,OI,OP
MAB1925.pdf,IS,IS
MAB1926.pdf,IS,FCP
MAB1927.pdf,OI,OP
MAB1928.pdf,Unknown,Unknown
MAB1929.pdf,PUA,CC
MAB1930.pdf,PUA,APS
MAB1931.pdf,UA,DE
MAB1932.pdf,IS,IS
MAB1933.pdf,OI,OP
MAB1934.pdf,UA,DE
MAB1935.pdf,PUA,AMS
MAB1936.pdf,PUA,TE
MAB1937.pdf,UA,DE
MAB1938.pdf,UA,DE
MAB2018.pdf,PUA,PhyE
MAB2029.pdf,IS,IS
MAR2001.pdf,IS,FCP
