ID,Major Category Abbreviation,Subclass Abbreviation
MAB1737.pdf,PUA,AMS
MAB1803.pdf,PUA,AMS
MAB1807.pdf,PUA,TE
MAB1808.pdf,UA,SBE
MAB1809.pdf,UA,DE
MAB1810.pdf,PUA,TE
MAB1811.pdf,UA,DE
MAB1812.pdf,PUA,PhyE
MAB1813.pdf,UA,DE
MAB1815.pdf,UA,DE
MAB1816.pdf,PUA,TE
MAB1817.pdf,IS,PIO
MAB1818.pdf,UA,DE
MAB1819.pdf,PUA,TE
MAB1820.pdf,UA,DE
MAB1821.pdf,OI,OP
MAB1822.pdf,PUA,CC
MAB1823.pdf,IS,PIO
MAB1824.pdf,PUA,TE
MAB1826.pdf,OI,RM
MAB1827.pdf,IS,FCP
MAB1828.pdf,PUA,TE
MAB1901.pdf,PUA,TE
MAB1902.pdf,OI,OP
MAB1907.pdf,OI,OP
MAR2002.pdf,IS,IS
