ID,Major Category Abbreviation,Subclass Abbreviation
MAB1611.pdf,UA,DE
MAB1625.pdf,UA,DE
MAB1626.pdf,PUA,APS
MAB1701.pdf,UA,DE
MAB1702.pdf,UA,DE
MAB1703.pdf,IS,PIO
MAB1704.pdf,UA,DE
MAB1705.pdf,IS,IS
MAB1706.pdf,UA,DE
MAB1708.pdf,PUA,CC
MAB1709.pdf,UA,DE
MAB1712.pdf,PUA,CC
MAB1713.pdf,PUA,TE
mab1714.pdf,PUA,AMS
MAB1715.pdf,IS,IS
MAB1716.pdf,PUA,PML
MAB1717.pdf,PUA,APS
MAB1719.pdf,PUA,AMS
MAB1720.pdf,OI,RM
MAB1722.pdf,UA,DE
MAB1723.pdf,UA,DE
MAB1725.pdf,UA,DE
MAB1726.pdf,PUA,TE
MAB1727.pdf,OI,OP
MAB1728.pdf,PUA,TE
MAB1729.pdf,OI,OP
MAB1730.pdf,IS,IS
MAB1731.pdf,PUA,CC
MAB1732.pdf,UA,DE
MAB1733.pdf,PUA,TE
MAB1734.pdf,OI,OP
MAB1735.pdf,PUA,TE
MAB1736.pdf,UA,DE
MAB1738.pdf,PUA,APS
MAB1739.pdf,PUA,TE
MAB1740.pdf,PUA,CC
MAB1801.pdf,PUA,CC
MAB1802.pdf,PUA,CC
MAB1804.pdf,PUA,TE
MAR1801.pdf,OI,OC
