ID,Major Category Abbreviation,Subclass Abbreviation
MAB1517.pdf,UA,DE
MAB1524.pdf,PUA,AMS
MAB1602.pdf,OI,OC
MAB1603.pdf,IS,IS
MAB1604.pdf,UA,DE
MAB1605.pdf,UA,DE
MAB1606.pdf,UA,DE
MAB1607.pdf,PUA,AMS
MAB1608.pdf,IS,PIO
MAB1610.pdf,PUA,CC
MAB1612.pdf,OI,RM
MAB1613.pdf,UA,SBE
MAB1614.pdf,PUA,TE
MAB1615.pdf,OI,OP
MAB1616.pdf,UA,DE
MAB1617.pdf,UA,DE
MAB1618.pdf,PUA,PR
MAB1619.pdf,UA,DE
MAB1620.pdf,PUA,TE
MAB1621.pdf,UA,SBE
MAB1622.pdf,PUA,AMS
MAB1623.pdf,IS,FCP
MAB1624.pdf,OI,OP
MAB1707.pdf,PUA,TE
MAB1710.pdf,OI,OP
MAB1711.pdf,UA,DE
MAB1718.pdf,PUA,CC
MAB1721.pdf,IS,IS
MAB1724.pdf,PUA,TE
MAR1701.pdf,UA,DE
