ID,Probable_cause
MIR2201.pdf,3.1 Probable Cause The National Transportation Safety Board determines that the probable cause of the contact of the Robert Cenac tow with the CSX Rigolets railway swing bridge was the poor communication between the bridge operator and vessel operator. Contributing to the accident was the absence of bridge span navigation lighting that would have provided the vessel operator with a visual indication of the bridge’s opening status.
MIR2202.pdf,3.1 Probable Cause The National Transportation Safety Board determines that the probable cause of the grounding of the fishing vessel Tenacious was the captain’s decision to get under way while fatigued. Contributing to the casualty was the decision not to use the navigation system’s cross track error alarm and to operate with a non-functioning bridge watch alarm.
MIR2205.pdf,3.1 Probable Cause The National Transportation Safety Board determines that the probable cause of the engine room fire aboard the towing vessel Miss Dorothy was the ignition of spraying diesel fuel from a main engine’s fuel system onto an uninsulated section of the engine’s
MIR2206.pdf,3.1 Probable Cause The National Transportation Safety Board determines that the probable cause of the mechanical failure of the no. 3 main engine aboard the passenger vessel Wenatchee was a connecting rod assembly that came loose and separated from the crankshaft due to insufficient tightening (torqueing) of a lower basket bolt during the recent engine overhaul.
MIR2207.pdf,"3.1 Probable Cause The National Transportation Safety Board determines that the probable cause of the contact of the tanker Riverside with the Moda Ingleside Energy Center no. 4 loading dock was the ineffective evaluation and incorrect solution for a main engine start issue by the company and shipboard engineers, overlooking the fouling of the main engine’s no. 6 air start actuator valve within the starting air distributor. Contributing to the casualty was the presence of moisture in and lack of routine drainage of the air start system, which allowed the buildup of hardened grease within the air start actuator valve."
MIR2208.pdf,3.1 Probable Cause The National Transportation Safety Board determines that the probable cause of the contact of the Kevin Michael tow with the Melvin Price Locks and Dam guide wall was the Kevin Michael pilot not effectively compensating for the strong outdraft and wind above the dam while navigating toward the lock during a period of high-flow conditions.
MIR2209.pdf,3.1 Probable Cause The National Transportation Safety Board determines that the probable cause of the contact of the Ava Claire tow with the Leland Bowman Lock gate was the towing vessel captain’s decision to assume the helm watch and attempt a predawn transit into the lock immediately after awakening while he was likely impaired by sleep inertia.
MIR2210.pdf,"3.1 Probable Cause The National Transportation Safety Board determines that the probable cause of the fire aboard the fish processor Aleutian Falcon was the company’s supervisory personnel inadequately planning for hot work, as well as shoreside workers’ inadequately protecting hot work areas, allowing slag from hot work to ignite combustible material near an insulated wooden bulkhead of a walk-in refrigerator that had not been removed or sufficiently protected. Contributing to the casualty was the ineffective communication between the supervisory personnel, marine chemist, and workers."
MIR2211.pdf,3.1 Probable Cause The National Transportation Safety Board determines that the probable cause of the grounding of the tanker Bow Tribute and its subsequent contact with the river intake fender systems was the pilot’s decision to overtake a tow in a large river bend occupied by multiple vessels during high-river conditions with a strong following current. Contributing to the grounding was the ineffective communication between the pilot of the Bow Tribute and the pilot of the towing vessel American Way regarding where the overtaking maneuver would occur.
MIR2213.pdf,3.1 Probable Cause The National Transportation Safety Board determines that the probable cause of the fire aboard the fishing vessel Nobska was a failure of a hydraulic hose within the
