ID,Probable_cause
MIR2302.pdf,3.1 Probable Cause The National Transportation Safety Board determines that the probable cause of the fire on board the passenger vessel Natchez was the failure of contractor and vessel personnel to identify and then either remove or adequately protect combustible material near hot work.
MIR2303.pdf,3.1 Probable Cause The National Transportation Safety Board determines that the probable cause of the crane toppling off the deck of the construction barge Carolyn Skaves was the lack of a spotter during a crane movement and the failure of the centerline cable system used to secure the crane to the barge. Contributing was ineffective company oversight of barge operations.
MIR2305.pdf,"3.1 Probable Cause The National Transportation Safety Board determines that the probable cause of the breakaway of the VALARIS DS-16 from the ST Engineering Halter Marine and Offshore Shipyard dock and the subsequent collision with the cargo vessel Akti was the failure of one of the shipyard’s mooring bollards—which had been modified to increase its height to accommodate more lines—used to secure the VALARIS DS-16’s bow mooring lines to a pier, during a cold front with strong winds."
MIR2306.pdf,3.1 Probable Cause The National Transportation Safety Board determines that the probable cause of contact of the Robert Cenac tow with the Houma Twin Span Bridge was the tow captain’s incorrect estimate of the crane boom height and his decision to depart before getting a confirmed height from the chartering company. Contributing to the incident was the crane barge owner not providing the accurate air draft information to the tow company.
MIR2307.pdf,"3.1 Probable Cause The National Transportation Safety Board determines that the probable cause of the fire aboard the deck barge CMT Y Not 6 was the ignition of a combustible material by an undetermined source, such as sparking from shifting metallic cargo, self-heating of metallic or nonmetallic cargo, improperly prepared vehicles and appliances, or damaged lithium-ion batteries."
MIR2308.pdf,"3.1 Probable Cause The National Transportation Safety Board determines that the probable cause of the mechanical failure of the no. 3 main engine and resulting fire aboard the offshore supply vessel Ocean Guardian was the replacement of a crankshaft main bearing with an incorrectly sized bearing during an engine overhaul due to the engine service technicians not identifying the removed bearing’s part number, which resulted in the loss of lube oil pressure in adjacent connecting rod bearings."
MIR2309.pdf,"3.1 Probable Cause The National Transportation Safety Board determines that the probable cause of the collision between the bulk carrier Bunun Queen and the offshore supply vessel Thunder was the Bunun Queen officer’s distraction due to performing non-navigational tasks and the Thunder officer’s distraction due to cell phone use, which kept both officers from keeping a proper lookout. Contributing to the casualty was the Thunder’s officer on watch not following his company’s watchkeeping policies."
MIR2311.pdf,3.1 Probable Cause The National Transportation Safety Board determines that the probable cause of the fire aboard the recreational yacht Pegasus was spontaneous combustion due to the self-heating of used oil-soaked rags that had been improperly disposed of on the aft deck of the vessel.
MIR2312.pdf,"3.1 Probable Cause The National Transportation Safety Board determines that the probable cause of the fire aboard the towing vessel Mary Dupre was undetected cracks in the starboard muffler that allowed exhaust gases from an operating engine to escape and ignite wooden structures affixed to the common bulkhead of an accommodation space. Contributing to the extent of the fire damage was the substantial use of combustible materials in the joinery, outfitting, and furnishings in the accommodation spaces."
MIR2313.pdf,"3.1 Probable Cause The National Transportation Safety Board determines that the probable cause of the flooding and sinking of fishing vessel Grace Marie was uncontrolled flooding of the engine room from an undetermined source, likely a failure of the doubler-plated hull below the engine room."
MIR2315.pdf,3.1 Probable Cause The National Transportation Safety Board determines that the probable cause of the collision between the tugboat George M and the containership MSC Aquarius was the George M mate’s attempt to make up bow to bow while the tugboat and containership were transiting at a speed that was excessive for the advanced harbor-assist maneuver. Contributing to the casualty was the George M mate’s lack of experience operating the tugboat.
MIR2316.pdf,"3.1 Probable Cause The National Transportation Safety Board determines that the probable cause of the collision between the cargo vessel Damgracht and the cargo vessel AP Revelin was the Damgracht’s loss of propulsion caused by an automatic shutdown of the main engine due to a false alarm, likely triggered by water vapor sensed by the oil mist detector shortly after engine maintenance was completed to replace a failed cylinder head gasket during high-humidity conditions."
MIR2317.pdf,"3.1 Probable Cause The National Transportation Safety Board determines that the probable cause of the grounding of the fishing vessel Challenger was the captain’s decision to navigate close to shore in an area known to him to have an uncharted rock. Contributing to the capsizing of the vessel was the lack of a watertight collision bulkhead and subdivision or compartmentalization below the main deck, which allowed for progressive flooding."
MIR2318.pdf,"3.1 Probable Cause The National Transportation Safety Board determines that the probable cause of the capsizing and sinking of the crane barge Ambition was the barge owner’s lack of hull inspection and maintenance, and not conducting permanent repairs, which resulted in the failure of the hull and subsequent flooding. Contributing was likely downflooding through an open deck hatch due to the tow operator’s failure to ensure adherence to its procedures for barge watertight integrity before getting underway, despite being aware of deficiencies with the watertight integrity of the barge."
MIR2319.pdf,3.1 Probable Cause The National Transportation Safety Board determines that the probable cause of the grounding of the CC Portland was the mate’s attempt to make up bow to bow with a liquefied natural gas carrier while the tugboat and liquefied natural gas carrier transited at a speed that was excessive for the advanced harbor-assist maneuver. Contributing to the casualty was the lack of a company policy regarding maximum allowable speed for bow assist maneuvers.
MIR2320.pdf,3.1 Probable Cause The National Transportation Safety Board determines that the probable cause of the crane fire on board the spud barge Kokosing V was an undetermined electrical ignition source in the crane’s battery compartment.
MIR2321.pdf,"3.1 Probable Cause The National Transportation Safety Board determines that the probable cause of the contact of the passenger vessel Cathlamet with the dolphin at the Fauntleroy Ferry Terminal was the master’s incapacitation, likely due to a microsleep, while the vessel was docking, and the quartermaster not actively monitoring the approach to the ferry terminal and intervening before the contact."
