ID,Probable_cause
MAB1517.pdf,Probable Cause The National Transportation Safety Board determines that the probable cause of the flooding and eventual sinking of the Nalani was the captain��s decision to get under way without sufficient freeboard at the stern and without ensuring proper watertight integrity.
MAB1524.pdf,"Probable Cause  The National Transportation Safety Board determines that the probable cause of the grounding of the Savannah Ray was the vessel straying off course and entering shallow water because the captain fell asleep while navigating due to fatigue. Contributing to the grounding was the captain��s failure to use all of the vessel��s available alerting and navigation alarms.  Safety Issues ? Crew knowledge of alerting and navigation alarms: The vessel was equipped with a watch alarm that, if used properly, would likely have prevented this accident. Best practices for commercial fishing operations include vessel owners/operators ensuring that their crews have sufficient knowledge of all onboard alerting and navigation alarms.  ? Written procedures for alerting and navigation alarms: The owner/operator of the vessel did not have any written guidance that required the crew to use all available onboard alerting and navigation alarms. Owners/operators can promote the proper use of alerting and navigation alarms by providing their crews with written procedures for this equipment."
MAB1602.pdf,"Probable Cause The National Transportation Safety Board determines that the probable cause of the grounding of the commercial fishing vessel SeaHawk No. 68 was the captain��s failure to effectively monitor the vessel��s position and progress as well as provide specific watchstanding instructions. Contributing to this accident was the owner/operator��s lack of policies and procedures for navigation and training of vessel crewmembers. Safety Equipment The investigation into the SeaHawk No. 68 accident found numerous deficiencies regarding the safety equipment on board the accident and sister vessels, including the following: ? PFDs stored in a locked storage box without the key nearby, ? liferafts secured to their cradles with several lines instead of a hydrostatic-release device, ? liferings that were faded, cracked, and deteriorated, and ? an EPIRB battery that had expired almost 4 years before the accident. Owner/operators and vessel crewmembers should maintain safety equipment so that the equipment would function as designed in an emergency and provide crewmembers with the best chance for survival. Owner/operators should ensure that their vessels carry enough safety equipment for each crewmember. ."
MAB1603.pdf,"Probable Cause The National Transportation Safety Board determines that the probable cause of the allision of the offshore supply vessel Connor Bordelon with the unmanned natural gas platform South Timbalier 271A was the failure of the mate on watch to ensure that the bridge team maintained a proper lookout, and his delay in changing from the autopilot to manual steering, which precluded him from taking the necessary action to prevent the allision with the platform. Safety Issues ? Voyage planning: The company��s safety manual provided instructions on how to execute a voyage plan that would mitigate the risks of navigating through the congested waters of the Gulf of Mexico. It is important for vessel owners and operators to verify that the safety procedures in their manuals, including those for drawing course lines that avoid chartered obstructions and other hazards to navigation, are being followed. ? Watchstanding practices: The officer of the watch needs to ensure that a proper lookout is posted during navigation. In this case, the officer did not designate one of the available watchstanders as the lookout, resulting in a missed opportunity to detect the platform earlier. ? Use of electronic chart display and information system: The Connor Bordelon was equipped with state-of-the art technology, including an ECDIS. The vessel had been operated for more than 1 year before the accident, but crewmembers had not yet taken certification courses in the use of the ECDIS. It is important for vessel owners and operators to ensure that their crews are proficient in the use of all electronic bridge equipment in a timely manner."
MAB1604.pdf,Probable Cause The National Transportation Safety Board determines that the probable cause of the collision between the Chembulk Houston and the Monte Alegre was the pilot��s decision to increase speed on the Monte Alegre without informing the deputy pilot on the overtaking Chembulk Houston.
MAB1605.pdf,"Probable Cause The National Transportation Safety Board determines that the probable cause of the collision between the Capt. Shorty C and the Jackie was the operators�� attempt to meet in a location known for strong currents and shoaling, which was contrary to published guidance for that waterway.   Familiarization with Local Recommendations The investigation into the collision between the tows of the Capt. Shorty C and the Jackie occurred in a location that was identified as an area dangerous for meeting. Vessel operators should be familiar with, and adhere to, publications such as the United States Coast Pilot regarding navigational recommendations and guidance."
MAB1606.pdf,Probable Cause The National Transportation Safety Board determines that the probable cause of the collision between the B.W. Haley and the Diamond Edge was the failure of both operators to properly determine the risk of collision and the excessive speed of the Diamond Edge in restricted visibility.
MAB1607.pdf,"Probable Cause The National Transportation Safety Board determines that the probable cause of the capsizing and sinking of fishing vessel Hawaii Five-1 was inadequate intact stability due to the owners�� failure to determine and mitigate the impacts that the conversion to longline fisheries services had on the vessel��s overall stability. Contributing to the loss of the vessel was the master��s insufficient understanding of stability principles, as demonstrated by his lack of action to improve the vessel��s stability during adverse sea conditions, and his failure to maintain watertight integrity."
MAB1608.pdf,"Probable Cause The National Transportation Safety Board determines that the probable cause of the collision between bulk carrier Privocean, tanker Bravo, and tugboat Texas was the inadequate mooring arrangement for the Privocean and the insufficient number of hold-in tugs provided by the vessel operator given the prevailing conditions."
MAB1610.pdf,"Probable Cause The National Transportation Safety Board determines that the probable cause of the collision between the containerships St. Louis Express and Hammersmith Bridge was the failure of the pilots and bridge teams on both vessels to assess the risk of collision, inadequate bridge resource management on both vessels, and a lack of communication between the pilots. Contributing to the accident was the failure to establish adequate passing room between the vessels while meeting near a major bend in a narrow channel."
